
{2014-01-02}
     DadosDoDia{name='LOJAS RENNER'codNegociation='LREN3F-NM   R$', complany=LREN3F-NM   R$, date=2014-01-02, openPrice=60.71, closePrice=59.25, percentage=0.0, minPrice=59.13, maxPrice=63.51, avgPrice=59.81, total=15.21} 
     DadosDoDia{name='WEG'codNegociation='WEGE3-NM   R$', complany=WEGE3-NM   R$, date=2014-01-02, openPrice=31.24, closePrice=30.4, percentage=0.0, minPrice=30.35, maxPrice=31.32, avgPrice=30.65, total=2523.0} 
     DadosDoDia{name='TELEF BRASIL'codNegociation='VIVT3-R$', complany=VIVT3-R$, date=2014-01-02, openPrice=39.18, closePrice=38.55, percentage=0.0, minPrice=38.55, maxPrice=39.39, avgPrice=39.03, total=262.0} 
     DadosDoDia{name='WEG'codNegociation='WEGE3F-NM   R$', complany=WEGE3F-NM   R$, date=2014-01-02, openPrice=30.14, closePrice=30.44, percentage=0.0, minPrice=30.14, maxPrice=32.83, avgPrice=31.14, total=8.35} 
     DadosDoDia{name='JSL'codNegociation='JSLG3-NM   R$', complany=JSLG3-NM   R$, date=2014-01-02, openPrice=15.89, closePrice=16.05, percentage=0.0, minPrice=15.55, maxPrice=16.05, avgPrice=15.94, total=2694.0} 
     DadosDoDia{name='METAL LEVE'codNegociation='LEVE3-NM   R$', complany=LEVE3-NM   R$, date=2014-01-02, openPrice=27.28, closePrice=26.87, percentage=0.0, minPrice=26.87, maxPrice=27.66, avgPrice=27.36, total=840.0} 
     DadosDoDia{name='LOJAS RENNER'codNegociation='LREN3-NM   R$', complany=LREN3-NM   R$, date=2014-01-02, openPrice=61.0, closePrice=59.0, percentage=0.0, minPrice=59.0, maxPrice=61.79, avgPrice=59.53, total=9839.0} 
     DadosDoDia{name='TELEF BRASIL'codNegociation='VIVT3F-R$', complany=VIVT3F-R$, date=2014-01-02, openPrice=39.99, closePrice=38.89, percentage=0.0, minPrice=38.5, maxPrice=39.99, avgPrice=38.84, total=1.58} 
     DadosDoDia{name='CIELO'codNegociation='CIEL3F-NM   R$', complany=CIEL3F-NM   R$, date=2014-01-02, openPrice=65.05, closePrice=66.49, percentage=0.0, minPrice=65.05, maxPrice=66.49, avgPrice=65.73, total=22.44} 
     DadosDoDia{name='ULTRAPAR'codNegociation='UGPA3-NM   R$', complany=UGPA3-NM   R$, date=2014-01-02, openPrice=55.95, closePrice=54.47, percentage=0.0, minPrice=54.47, maxPrice=56.28, avgPrice=55.09, total=10731.0} 
     DadosDoDia{name='METAL LEVE'codNegociation='LEVE3F-NM   R$', complany=LEVE3F-NM   R$, date=2014-01-02, openPrice=27.49, closePrice=27.38, percentage=0.0, minPrice=27.15, maxPrice=27.54, avgPrice=27.28, total=1.18} 
     DadosDoDia{name='GRENDENE'codNegociation='GRND3F-NM   R$', complany=GRND3F-NM   R$, date=2014-01-02, openPrice=18.0, closePrice=17.85, percentage=0.0, minPrice=17.6, maxPrice=18.37, avgPrice=17.94, total=13.36} 
     DadosDoDia{name='GRENDENE'codNegociation='GRND3-NM   R$', complany=GRND3-NM   R$, date=2014-01-02, openPrice=18.09, closePrice=17.8, percentage=0.0, minPrice=17.57, maxPrice=18.18, avgPrice=17.8, total=2679.0} 
     DadosDoDia{name='SID NACIONAL'codNegociation='CSNA3F-R$', complany=CSNA3F-R$, date=2014-01-02, openPrice=14.46, closePrice=14.4, percentage=0.0, minPrice=14.0, maxPrice=14.69, avgPrice=14.32, total=31.93} 
     DadosDoDia{name='NATURA'codNegociation='NATU3F-NM   R$', complany=NATU3F-NM   R$, date=2014-01-02, openPrice=42.58, closePrice=41.13, percentage=0.0, minPrice=40.36, maxPrice=42.58, avgPrice=40.84, total=14.41} 
     DadosDoDia{name='NATURA'codNegociation='NATU3-NM   R$', complany=NATU3-NM   R$, date=2014-01-02, openPrice=41.18, closePrice=40.27, percentage=0.0, minPrice=40.27, maxPrice=41.37, avgPrice=40.78, total=11054.0} 
     DadosDoDia{name='ULTRAPAR'codNegociation='UGPA3F-NM   R$', complany=UGPA3F-NM   R$, date=2014-01-02, openPrice=55.5, closePrice=54.99, percentage=0.0, minPrice=54.59, maxPrice=56.12, avgPrice=55.22, total=23.29} 
     DadosDoDia{name='CIELO'codNegociation='CIEL3-NM   R$', complany=CIEL3-NM   R$, date=2014-01-02, openPrice=65.65, closePrice=66.11, percentage=0.0, minPrice=65.19, maxPrice=66.17, avgPrice=65.82, total=13779.0} 
     DadosDoDia{name='JSL'codNegociation='JSLG3F-NM   R$', complany=JSLG3F-NM   R$, date=2014-01-02, openPrice=15.8, closePrice=15.8, percentage=0.0, minPrice=15.78, maxPrice=15.8, avgPrice=15.79, total=0.87} 
{2014-01-03}
     DadosDoDia{name='CIELO'codNegociation='CIEL3F-NM   R$', complany=CIEL3F-NM   R$, date=2014-01-03, openPrice=66.15, closePrice=66.84, percentage=0.0, minPrice=66.15, maxPrice=67.33, avgPrice=66.89, total=25.08} 
